Отметка времени;День Вашего рождения (числом);Месяц Вашего рождения (числом);Год Вашего рождения (числом);Ваш пол;Полное наименование ВУЗа, в котором Вы учились на время сдачи экзамена;Где Вы жили на время сдачи экзамен?;Ваше семейное положение на время сдачи экзамена;Ваш доход на время сдачи экзамена;По Вашему мнению, каким был предмет?;Был ли Вам полезен данный предмет?;Был ли преподаватель увлечён предметом?;Были ли Вы увлечены данным предметом?;Готовили ли Вы шпаргалки?;Сами ли Вы готовили шпаргалки?;Вы списывали?;За какой период Вы подготовились к экзамену?;Склонны ли Вы к прокрастинации (прокрастина?ция — склонность к постоянному откладыванию какого-либо дела)?;Внимательно ли Вы слушали преподавателя во время лекции?;Было ли несколько удачных опытов в списывании до этого экзамена?;Как Вы посещали пары по этому предмету?;Какой формы был экзамен?;Какой по характеру Ваш преподаватель?;Пол Вашего преподавателя;Приблизительный возраст Вашего преподавателя;Преподаватель замечал, что Вы списываете?;Как вёл пары преподаватель?;Ходил ли преподаватель во время экзамена?;В каких отношениях Вы были с преподавателем?;Какую оценку Вы получили?
3.25.2019 12:38:50;26;1;1999;М;ПГНИУ ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;От 1 до 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Строгий;Ж;Старше 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;В нейтральных;5
3.25.2019 12:38:58;20;11;1998;М;ПГНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Строгий;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;3
3.25.2019 12:39:13;28;8;2000;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Нет, не был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и позволял это делать;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 12:39:35;29;8;1999;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Когда как;Нет, не были;Ходили на все пары;Устной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В очень хороших отношениях;4
3.25.2019 12:39:59;25;02;1997;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Устной;Строгий;М;Старше 50 лет;Да, и позволял это делать;Материал был вообще не понятен;Нет, не ходил;В нейтральных;4
3.25.2019 12:40:10;24;8;1999;Ж;ПГНИУ;С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;В нейтральных;3
3.25.2019 12:40:23;15;12;1999;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Один;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Очень часто прогуливал;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 12:40:37;16;07;2000;Ж;ПГНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Когда как;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
3.25.2019 12:40:37;25;05;2000;Ж;ПГНИУ ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:40:52;21;11;1991;М;ПГНИУ ;В своей квартире не один;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Очень часто прогуливал;Устной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в плохих, чем в хороших;3
3.25.2019 12:41:07;28;09;1999;Ж; ПГНИУ;В своей квартире один;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В очень хороших отношениях;4
3.25.2019 12:41:21;30;06;1999;М;пгниу;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
3.25.2019 12:42:47;24;02;1999;Ж;Пермский государственный национально исследовательский университет ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;В нейтральных;3
3.25.2019 12:42:50;8;6;1999;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Ходили на все пары;Письменной;Строгий;Ж;До 30 лет;Да, и делал замечания;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:43:00;12;11;1995;М;ПГНИУ;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;До 30 лет;Да, и выгонял с экзамена;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
3.25.2019 12:43:12;5;1;1999;М;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 12:43:19;14;11;1999;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;4
3.25.2019 12:43:34;22;12;1998;Ж;ПГНИУ;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
3.25.2019 12:43:43;1;4;1998;М;Пгниу ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;По настроению;Ж;До 30 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 12:43:48;2;4;1999;М;Пермский государственный национальный исследовательский университет ;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:44:18;27;04;99;Ж;ПГНИУ;В съёмной квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;4
3.25.2019 12:44:40;19;9;1998;Ж;ПЕРМСКИЙ ГОСУДАРСТВЕННЫЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ;С родителями в квартире;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;Строгий;М;С 30 до 50 лет;Да, и позволял это делать;Материал был понятен не весь;Нет, не ходил;Скорее всего в плохих, чем в хороших;5
3.25.2019 12:44:47;14;01;1998;Ж;Пгниу;В своей квартире не один;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;В нейтральных;2
3.25.2019 12:45:19;26;12;1995;М;ПГНИУ;С родителями в квартире;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
3.25.2019 12:45:23;31;10;2000;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 12:46:19;11;06;1999;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:46:42;18;08;1996;Ж;Пермский государственный национальный исследовательский университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:46:44;20;10;1997;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;В нейтральных;3
3.25.2019 12:47:03;31;10;2000;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 12:48:01;29;04;1999;М;ПГНИУ ;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;3
3.25.2019 12:48:11;29;12;1998;Ж;ПГНИУ;В съёмной квартире не один;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
3.25.2019 12:48:22;17;02;1999;Ж;Пермский государственный национально исследовательский университет ;В съёмной квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В очень хороших отношениях;4
3.25.2019 12:49:10;5;8;2000;М;Пермский государственный национальный исследовательский университет;В своей квартире один;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;До 30 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:49:12;17;10;1997;Ж;ПГНИУ;В общежитии;Один;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;2
3.25.2019 12:49:13;28;06;1996;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;4
3.25.2019 12:49:14;5;8;2000;М;Пермский государственный национальный исследовательский университет;В своей квартире один;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;До 30 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:49:46;18;08;1996;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
3.25.2019 12:50:26;05;03;1996;Ж;ПГНИУ;В своей квартире не один;Женат/замужем;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
3.25.2019 12:50:52;28;04;1999;М;ПГНИУ;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:51:00;18;05;1999;Ж;ПГНИУ ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
3.25.2019 12:51:21;11;12;2000;Ж;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Нет, не был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;5
3.25.2019 12:51:22;7;4;2000;М;пгниу;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;До 30 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;5
3.25.2019 12:51:55;28;3;2000;Ж;ПГНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Письменной;По настроению;М;С 30 до 50 лет;Да, и позволял это делать;Материал был вообще не понятен;Да, ходил;В нейтральных;3
